I
1150 Version - data cycle 1911, build 20250921, metadata MSAXP1150. FMS
 2    SN PG PGSN M 180 000  0 028 000  0
 2   AJA PG PGUM M 180 000  0 026 000  0
10 RW06L PG PGUM M 180 000  0 026 000  0
10 RW06R PG PGUM M 180 000  0 026 000  0
10 RW24L PG PGUM M 180 000  0 026 000  0
10 RW24R PG PGUM M 180 000  0 026 000  0
 3   UNZ PG PGUM M 180 000  0 026 000  0
 3   UNZ PG PGUM M 090 000  0 023 000  0 340 000  0 262 000  0
 3   UNZ PG PGUM M 180 000  0 026 000  0
10  RW08 PG PGWT M 180 000  0 028 000  0
10  RW26 PG PGWT M 180 000  0 028 000  0
11 IHEPA PH PHHN M 180 000  0 113 000  0
 3   HNL PH PHJR M 090 000  0 053 000  0 083 000  0 082 000  0 009 000  0
10 RW04R PH PHJR M 180 000  0 052 000  0
 3   KOA PH PHKO M 170 000  0 115 000  0 243 000  0 132 000  0 017 000  0
10  RW17 PH PHKO M 180 000  0 142 000  0
10  RW35 PH PHKO M 180 000  0 149 000  0
11 CUBIG PH PHLI M 180 000  0 065 000  0
11 JABDI PH PHLI M 180 000  0 065 000  0
 3   LIH PH PHLI M 050 000  0 065 000  0 080 000  0 352 000  0
10  RW21 PH PHLI M 180 000  0 065 000  0
10  RW35 PH PHLI M 180 000  0 065 000  0
11 ZOKLO PH PHLU M 180 000  0 070 000  0
 3   MKK PH PHMK M 045 000  0 031 000  0 253 000  0 282 000  0 144 000  0
11 ZUTAR PH PHMK M 180 000  0 062 000  0
11 KUKUI PH PHMU M 180 000  0 150 000  0
11 LUANA PH PHMU M 180 000  0 150 000  0
 3   MUE PH PHMU M 040 000  0 068 000  0 140 000  0 142 000  0
11 CEDRI PH PHNL M 180 000  0 053 000  0
11 FALOS PH PHNL M 180 000  0 053 000  0
 3   HNL PH PHNL M 090 000  0 053 000  0 083 000  0 082 000  0 009 000  0
 3   HNL PH PHNL M 090 000  0 052 000  0 083 000  0 062 000  0 009 000  0
 3   HNL PH PHNL M 090 000  0 053 000  0 083 000  0 082 000  0 009 000  0
10 RW04R PH PHNL M 180 000  0 053 000  0
10 RW08L PH PHNL M 180 000  0 053 000  0
10 RW08R PH PHNL M 180 000  0 053 000  0
10 RW26L PH PHNL M 180 000  0 053 000  0
 3   LNY PH PHNY M 120 000  0 070 000  0 001 000  0 322 000  0
 3   LNY PH PHNY M 120 000  0 068 000  0 001 000  0 292 000  0
 3   LNY PH PHNY M 180 000  0 070 000  0
10  RW03 PH PHNY M 180 000  0 070 000  0
 3   OGG PH PHOG M 140 000  0 034 000  0 133 000  0 132 000  0 014 000  0
10  RW02 PH PHOG M 180 000  0 112 000  0
10  RW20 PH PHOG M 180 000  0 112 000  0
10  RW23 PH PHOG M 180 000  0 113 000  0
 2   VYI PH PHOG M 120 000  0 038 000  0 243 000  0 132 000  0 012 000  0
 3   ITO PH PHTO M 160 000  0 015 000  0 143 000  0 302 000  0 016 000  0
10  RW21 PH PHTO M 180 000  0 150 000  0
10  RW26 PH PHTO M 180 000  0 150 000  0
10  RW07 PK PKMJ M 180 000  0 013 000  0
10  RW25 PK PKMJ M 180 000  0 013 000  0
10  RW06 PM PMDY M 180 000  0 013 000  0
10  RW24 PM PMDY M 180 000  0 013 000  0
11 HAMAX K2 PTKK M 180 000  0 023 000  0
10  RW22 PT PTKK M 180 000  0 023 000  0
 2   TKK PT PTKK M 180 000  0 023 000  0
11 EVUTY K2 PTPN M 180 000  0 038 000  0
 2   PNI PT PTPN M 180 000  0 036 000  0
10  RW09 PT PTPN M 180 000  0 038 000  0
10  RW09 PT PTRO M 180 000  0 019 000  0
10  RW27 PT PTRO M 180 000  0 019 000  0
11 FIBTO K2 PTSA M 180 000  0 032 000  0
11 MENLE K2 PTSA M 180 000  0 032 000  0
10  RW07 PT PTYA M 180 000  0 017 000  0
10  RW25 PT PTYA M 180 000  0 017 000  0
 2    YP PT PTYA M 180 000  0 017 000  0
11 HOPID NZ NSTU M 180 000  0 033 000  0
10  RW23 NS NSTU M 180 000  0 033 000  0
 3   TUT NS NSTU M 180 000  0 033 000  0
 3   TUT NS NSTU M 180 000  0 032 000  0
 3   TUT NS NSTU M 180 000  0 034 000  0
11 DILKS K4  00R M 180 000  0 031 000  0
 3   EWC K6  02G M 090 000  0 036 000  0 080 000  0 312 000  0
10  RW25 K5  02G M 180 000  0 036 000  0
10  RW06 K3  04W M 180 000  0 027 000  0
 3   FAR K3  04Y M 090 000  0 032 000  0 083 000  0 002 000  0 009 000  0
10  RW34 K3  04Y M 180 000  0 036 000  0
 3   CGT K5  05C M 090 000  0 034 000  0 340 000  0 282 000  0
10  RW08 K5  05C M 180 000  0 034 000  0
10  RW26 K5  05C M 180 000  0 034 000  0
10  RW18 K2  05U M 180 000  0 119 000  0
10  RW32 K3  06D M 180 000  0 037 000  0
 3   HUO K6  06N M 135 000  0 039 000  0 251 000  0 352 000  0
10  RW08 K6  06N M 180 000  0 043 000  0
10  RW26 K6  06N M 180 000  0 043 000  0
 3   GGG K4  07F M 180 000  0 028 000  0
10  RW14 K4  07F M 180 000  0 028 000  0
10  RW32 K4  07F M 180 000  0 028 000  0
10  RW16 K3  07K M 180 000  0 041 000  0
10  RW34 K3  07K M 180 000  0 041 000  0
10  RW17 K3  08K M 180 000  0 041 000  0
10  RW35 K3  08K M 180 000  0 041 000  0
10  RW07 K6  08N M 180 000  0 031 000  0
10  RW25 K6  08N M 180 000  0 031 000  0
10  RW18 K7  09J M 180 000  0 027 000  0
10  RW36 K7  09J M 180 000  0 027 000  0
 3   SSI K7  09J M 180 000  0 027 000  0
10  RW10 K7  0A8 M 180 000  0 027 000  0
10  RW28 K7  0A8 M 180 000  0 027 000  0
10  RW06 K7  0A9 M 180 000  0 075 000  0
10  RW13 K3  0B4 M 180 000  0 038 000  0
10  RW31 K3  0B4 M 180 000  0 038 000  0
 3   GDM K6  0B5 M 150 000  0 044 000  0 041 000  0 332 000  0
 3   GON K6  0B8 M 180 000  0 021 000  0 181 000  0 262 000  0
10  RW15 K3  0C4 M 180 000  0 038 000  0
10  RW33 K3  0C4 M 180 000  0 038 000  0
10  RW13 K3  0D8 M 180 000  0 041 000  0
10  RW31 K3  0D8 M 180 000  0 041 000  0
10  RW08 K2  0E0 M 180 000  0 119 000  0
10  RW26 K2  0E0 M 180 000  0 119 000  0
10  RW27 K5  0I2 M 180 000  0 026 000  0
 3   TTH K5  0I2 M 180 000  0 026 000  0
 3   MON K4  0M0 M 180 000  0 019 000  0
11 QUOTH K4  0R4 M 180 000  0 022 000  0
10  RW14 K4  0R4 M 180 000  0 022 000  0
10  RW09 K4  0R5 M 180 000  0 031 000  0
10  RW27 K4  0R5 M 180 000  0 031 000  0
10  RW09 K1  0S9 M 180 000  0 090 000  0
10  RW16 K3  0V3 M 180 000  0 045 000  0
10  RW34 K3  0V3 M 180 000  0 045 000  0
 3   LYH K6  0V4 M 090 000  0 055 000  0 343 000  0 272 000  0 009 000  0
10  RW06 K6  0V4 M 180 000  0 041 000  0
11 SOZIY K6  0V4 M 180 000  0 041 000  0
10  RW10 K6  0W3 M 180 000  0 026 000  0
11 FALRA K5  10C M 180 000  0 026 000  0
10  RW16 K4  11R M 180 000  0 030 000  0
10  RW34 K4  11R M 180 000  0 030 000  0
10  RW08 K3  12D M 180 000  0 034 000  0
10  RW26 K3  12D M 180 000  0 034 000  0
 3   CEW K7  12J M 180 000  0 023 000  0
10  RW14 K3  12K M 180 000  0 039 000  0
10  RW32 K3  12K M 180 000  0 039 000  0
 3   TKO K3  12K M 180 000  0 039 000  0 341 000  0 352 000  0
11 MANTU K6  12N M 180 000  0 034 000  0
 3   HVQ K6  12V M 180 000  0 040 000  0
10  RW07 K6  12V M 180 000  0 036 000  0
10  RW10 K5  13C M 180 000  0 031 000  0
10  RW28 K5  13C M 180 000  0 031 000  0
 3   EMP K3  13K M 180 000  0 031 000  0
10  RW18 K3  13K M 180 000  0 031 000  0
10  RW09 K5  14G M 180 000  0 031 000  0
10  RW34 K3  14Y M 180 000  0 036 000  0
 1   15F K4  15F M 180 000  0 034 000  0
10  RW05 K7  15J M 180 000  0 025 000  0
10  RW23 K7  15J M 180 000  0 025 000  0
 3   FBC K5  16G M 180 000  0 030 000  0
10  RW06 K5  16G M 180 000  0 027 000  0
10  RW24 K5  16G M 180 000  0 027 000  0
 3   BUD K5  17G M 180 000  0 031 000  0
10  RW04 K5  17G M 180 000  0 030 000  0
10  RW22 K5  17G M 180 000  0 030 000  0
 3   MAI K7  17J M 180 000  0 025 000  0
 3   OOD K6  17N M 180 000  0 026 000  0 341 000  0 222 000  0
 3   SQS K7  19M M 180 000  0 020 000  0 241 000  0 322 000  0
10  RW05 K6  19N M 180 000  0 026 000  0
10  RW23 K6  19N M 180 000  0 026 000  0
10  RW02 K7  1A3 M 180 000  0 068 000  0
10  RW20 K7  1A3 M 180 000  0 068 000  0
11 KUYES K7  1A5 M 180 000  0 079 000  0
 3   MGM K7  1A9 M 090 000  0 024 000  0 340 000  0 352 000  0
10  RW16 K6  1B0 M 180 000  0 039 000  0
10  RW34 K6  1B0 M 180 000  0 039 000  0
 2   PFH K6  1B1 M 180 000  0 039 000  0 241 000  0 172 000  0
10  RW18 K6  1B6 M 180 000  0 033 000  0
10  RW32 K6  1B9 M 180 000  0 026 000  0
 3   RBS K5  1C1 M 180 000  0 025 000  0
10  RW18 K5  1C1 M 180 000  0 030 000  0
 3   JOT K5  1C5 M 180 000  0 026 000  0
10  RW36 K5  1C5 M 180 000  0 034 000  0
10  RW18 K5  1D2 M 180 000  0 031 000  0
