APPCH:060,R,R31R, ,CUDKO,K4,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1284,0070,+,02200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,S13L,PSX,PSX,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,S13L,PSX,VCT,K4,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,S13L,PSX,VCT,K4,D, ,V  A,R,   ,PI, ,VCT,K4,D, ,      ,0000,0000,2618,0150,+,02200,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:040,A,S13L,PSX,VCT,K4,D, ,VE  , ,   ,CF, ,VCT,K4,D, ,      ,0000,0000,1268,0090,+,01300,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,S,S13L, ,VCT,K4,D, ,V  F, ,   ,IF, ,VCT,K4,D, ,      ,0000,0000,    ,    ,+,01300,     ,18000, ,   ,    ,   ,VCT,K4,D, , ,0,N,S;
APPCH:030,S,S13L, ,RW13L,K4,P,G,GY M, ,   ,CF, ,VCT,K4,D, ,      ,1268,0032,1268,0032, ,00168,     ,     , ,   ,-331,   , , , , , ,0,N,S;
APPCH:040,S,S13L, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1268,    ,+,00515,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,S,S13L, ,VCT,K4,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,S,S13L, ,VCT,K4,D, ,VE  ,R,   ,HM, , , , , ,      ,    ,    ,1268,T010,+,02200,     ,     , ,   ,    ,   , , , , , ,0,N,S;
RWY:RW13L,     ,      ,00115,I,IVCT,1,   ;N28514950,W096560268,0000;
RWY:RW13R,     ,      ,00105,D,    , ,   ;N28510324,W096551775,0441;
RWY:RW18 ,     ,      ,00106,D,    , ,   ;N28513216,W096543512,0000;
RWY:RW31L,     ,      ,00102,D,    , ,   ;N28503885,W096544746,0551;
RWY:RW31R,     ,      ,00104,R,    , ,   ;N28504862,W096544709,0000;
RWY:RW36 ,     ,      ,00103,D,    , ,   ;N28504357,W096543499,0000;
