APPCH:040,R,R19, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1713,    ,+,00765,     ,     , ,   ,    ,   , , , , , ,A, ,S;
APPCH:050,R,R19, ,IXIQE,PA,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A, ,S;
APPCH:060,R,R19, ,URTOW,PA,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,1460,0060,+,03000,     ,     , ,   ,    ,   , , , , , ,A, ,S;
APPCH:070,R,R19, ,URTOW,PA,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1461,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,A, ,S;
APPCH:010,A,S01,TKA,TKA,PA,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S01,TKA,HISLO,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S01,TKA,HISLO,PA,P,C,EE A,L,   ,PI, ,TKA,PA,D, ,      ,1720,0039,2170,0100,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S01,URTOW,URTOW,PA,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S01,URTOW,JEBOL,PA,P,C,EE B,R,   ,AF, ,TKA,PA,D, ,      ,1719,0140,1558,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,S,S01, ,JEBOL,PA,P,C,E  I, ,   ,IF, ,TKA,PA,D, ,      ,1719,0140,    ,    ,+,02500,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S01, ,HISLO,PA,P,C,E  F, ,   ,CF, ,TKA,PA,D, ,      ,1720,0039,3520,0101,+,02000,     ,     , ,   ,    ,   ,TKA,PA,D, , ,0, ,S;
APPCH:030,S,S01, ,RW01,PA,P,G,GY M, ,   ,CF, ,TKA,PA,D, ,      ,3520,0011,3520,0051, ,01040,     ,     , ,   , 000,   , , , , , ,0, ,S;
APPCH:040,S,S01, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3520,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S01, ,TKA,PA,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S01, ,TKA,PA,D, ,VE  ,L,   ,HM, , , , , ,      ,    ,    ,3518,T010,+,03200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW01 ,     ,+01184,00356,R,    , ,   ;N62190160,W150055064,0000;
RWY:RW19 ,     ,+01211,00365,R,    , ,   ;N62193229,W150051691,0000;
