APPCH:040,P,P08, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0842,    ,+,01060,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:050,P,P08, ,ORCUT,K2,E,A,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:060,P,P08, ,ORCUT,K2,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,3088,0040,+,05000,     ,     ,-,210,    ,   , , , , , ,P,P,S;
APPCH:010,A,VOR-B,GVO,GVO,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,3,N,C;
APPCH:020,A,VOR-B,GVO,CALLI,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,3130,0073,+,05000,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:030,A,VOR-B,GVO,CALLI,K2,P,C,E  A,L,   ,PI, ,RZS,K2,D, ,      ,2773,0210,3220,0100,+,03500,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:040,A,VOR-B,GVO,CALLI,K2,P,C,EE  , ,   ,CF, ,RZS,K2,D, ,      ,2773,0210,0970,0060,+,03000,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:010,A,VOR-B,RZS,RZS,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,3,N,C;
APPCH:020,A,VOR-B,RZS,CALLI,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2770,0210,+,06000,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:030,A,VOR-B,RZS,CALLI,K2,P,C,E  A,L,   ,PI, ,RZS,K2,D, ,      ,2773,0210,3220,0100,+,03500,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:040,A,VOR-B,RZS,CALLI,K2,P,C,EE  , ,   ,CF, ,RZS,K2,D, ,      ,2773,0210,0970,0060,+,03000,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:020,S,VOR-B, ,CALLI,K2,P,C,E  F, ,   ,IF, ,RZS,K2,D, ,      ,2773,0210,    ,    ,+,03000,     ,18000, ,   ,    ,   ,RZS,K2,D, , ,3,N,C;
APPCH:030,S,VOR-B, ,MARNV,K2,P,C,EY M, ,   ,CF, ,RZS,K2,D, ,      ,2770,0164,0970,0046, ,01880,     ,     , ,   , 000,   , , , , , ,3,N,C;
APPCH:040,S,VOR-B, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0970,    ,+,01074,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:050,S,VOR-B, , , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,2600,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:060,S,VOR-B, ,ORCUT,K2,E,A,EE  , ,   ,CF, ,MQO,K2,D, ,      ,1264,0300,3060,0150,+,05000,     ,     , ,   ,    ,   , , , , , ,3,N,C;
RWY:RW08 ,     ,      ,00655,D,    , ,   ;N34362652,W120044858,0000;
RWY:RW26 ,     ,      ,00674,D,    , ,   ;N34362255,W120041538,0000;
