APPCH:030,R,R05, ,RW05,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,0488,0047, ,00188,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R05, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0488,    ,+,00336,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R05, ,OBTOQ,K7,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R05, ,PLUMY,K7,E,A,EY  ,L,010,TF,Y, , , , ,      ,    ,    ,3110,0122,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:070,R,R05, ,PLUMY,K7,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2410,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R09,ARSHW,ARSHW,K7,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,0938,0040,+,02700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R09,BOMRR,BOMRR,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R09,BOMRR,ARSHW,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,0038,0058,+,02700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R09,GUUNR,GUUNR,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R09,GUUNR,ARSHW,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1838,0058,+,02700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R09, ,ARSHW,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R09, ,FLYEN,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0938,0060,+,01700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R09, ,SUNFN,K7,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,0938,0029,V,00780,00788,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R09, ,RW09,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,0938,0019, ,00184,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0938,    ,+,01100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R09, ,PLUMY,K7,E,A,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R09, ,PLUMY,K7,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2410,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R23,EHAGU,EHAGU,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R23,EHAGU,JOVMU,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,3190,0050,+,02700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
