STAR:010,3,SWR3,RW03B,PEELS,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,3,SWR3,RW03B,KSUU,K2,P,A,AE  , ,   ,VM, , , , , ,      ,    ,    ,2000,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,3,SWR3,RW21B,PEELS,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,3,SWR3,RW21B,KSUU,K2,P,A,AE  , ,   ,VM, , , , , ,      ,    ,    ,1750,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,WEBGO1,ANAHO,ANAHO,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,WEBGO1,ANAHO,WEBGO,K2,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,2199,0524, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,WEBGO1,MVA,MVA,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,WEBGO1,MVA,TEYOL,K2,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,2812,0787, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,WEBGO1,MVA,WEBGO,K2,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,2803,0424, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,WEBGO1, ,WEBGO,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,WEBGO1, ,HOLDS,K2,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,2244,0326,+,FL260,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,WEBGO1, ,NAMOE,K2,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,2240,0270,-,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,WEBGO1, ,GHEER,K2,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,2237,0216,B,12000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,WEBGO1, ,IKARE,K2,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,1798,0095,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,WEBGO1,RW03L,IKARE,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,WEBGO1,RW03L,SEATO,K2,P,C,EY H, ,010,TF, , , , , ,      ,    ,    ,1796,0097, ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,WEBGO1,RW03L,KSUU,K2,P,A,AE  , ,   ,VM, , , , , ,      ,    ,    ,2020,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,WEBGO1,RW21R,IKARE,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,WEBGO1,RW21R,SEATO,K2,P,C,EY H, ,010,TF, , , , , ,      ,    ,    ,1796,0097, ,06000,     ,     , ,210,    ,   , , , , , , , , ;
STAR:030,6,WEBGO1,RW21R,KSUU,K2,P,A,AE  , ,   ,VM, , , , , ,      ,    ,    ,1000,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
RWY:RW032,     ,      ,00057,D,    , ,   ;N38162573,W121542479,0000;
RWY:RW03L,     ,      ,00033,I,    , ,   ;N38143587,W121572512,0000;
RWY:RW03R,     ,      ,00053,V,    , ,   ;N38154128,W121553546,0000;
RWY:RW212,     ,      ,00052,D,    , ,   ;N38164902,W121535233,0000;
RWY:RW21L,     ,      ,00053,I,    , ,   ;N38165445,W121535352,0000;
RWY:RW21R,     ,      ,00050,I,    , ,   ;N38154911,W121554318,0000;
