STAR:040,4,ENDEE4,PHEEB,MMEGG,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE4,PHEEB,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ENDEE4, ,ENDEE,K5,P,C,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,ENDEE4, ,STKNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,ENDEE4,RW04R,STKNY,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,ENDEE4,RW04R,ALQUE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,ENDEE4,RW04R,BANER,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,ENDEE4,RW13C,STKNY,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,ENDEE4,RW13C,TOYUL,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,ENDEE4,RW13C,JEAAN,K5,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,6,ENDEE4,RW13C,JEAAN,K5,P,C,EE  , ,   ,FM, ,VIO,K5,D, ,      ,2459,1297,0421,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,ENDEE4,RW22L,STKNY,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,ENDEE4,RW22L,PKACH,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,ENDEE4,RW22L,MIING,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,6,ENDEE4,RW22L,WADLL,K5,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
