APPCH:010,A,R23,PRUDE,PRUDE,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R23,PRUDE,ZABSI,K5,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,3353,0082,+,03100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R23,PRUDE,YEBTO,K5,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,3237,0100,+,03100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R23,YEBTO,YEBTO,K5,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,2336,0040,+,03100,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R23, ,YEBTO,K5,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R23, ,VOYUV,K5,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2336,0089,+,02000,     ,     , ,   ,    ,   ,RW23,K5,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R23, ,RW23,K5,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2335,0041, ,00695,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R23, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2335,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R23, ,YEBTO,K5,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R23, ,YEBTO,K5,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2336,0040,+,03100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW05 ,     ,+01621,00642,R,    , ,   ;N39313207,W084241262,0000;
RWY:RW08 ,     ,      ,00643,D,    , ,   ;N39315898,W084240275,0951;
RWY:RW23 ,     ,+01647,00650,R,    , ,   ;N39320935,W084231637,0299;
RWY:RW26 ,     ,      ,00644,D,    , ,   ;N39320072,W084233636,0000;
