STAR:010,1,CSI2,FST,FST,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,CSI2,FST,CSI,K4,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,CSI2,JCT,JCT,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,CSI2,JCT,CSI,K4,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,CSI2,ALL,CSI,K4,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,CSI2,ALL,BENEY,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,CSI2,ALL,MEDIN,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,CSI2,ALL,REUBE,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,LEMIG1,COT,COT,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,LEMIG1,COT,LEMIG,K4,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0370,0450, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,LEMIG1,CRP,CRP,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,LEMIG1,CRP,THX,K4,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,3050,0520, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,LEMIG1,CRP,LEMIG,K4,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,3190,0340, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,LEMIG1,LRD,LRD,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,LEMIG1,LRD,LEMIG,K4,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0190,1020, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,LEMIG1,THX,THX,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,LEMIG1,THX,LEMIG,K4,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,3190,0340, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,LEMIG1,ALL,LEMIG,K4,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,LEMIG1,ALL,WENDL,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,3550,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,LEMIG1,ALL,ELKAY,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,3550,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MARCS1,ACT,ACT,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MARCS1,ACT,BLEWE,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MARCS1,ACT,CWK,K4,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,MARCS1,ACT,MARCS,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MARCS1,CWK,CWK,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MARCS1,CWK,MARCS,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MARCS1,IDU,IDU,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MARCS1,IDU,CRAYS,K4,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MARCS1,IDU,MARCS,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MARCS1,LFK,LFK,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MARCS1,LFK,IDU,K4,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MARCS1,LFK,CRAYS,K4,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,MARCS1,LFK,MARCS,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MARCS1,WINDU,WINDU,K4,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MARCS1,WINDU,BLEWE,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MARCS1,WINDU,CWK,K4,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,MARCS1,WINDU,MARCS,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,MARCS1,ALL,MARCS,K4,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,MARCS1,ALL,BRAUN,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,MARCS1,ALL,TROOP,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,MARCS1,ALL,CRISS,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,STV1,ABI,ABI,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,STV1,ABI,STV,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1460,1490, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,STV1,JCT,JCT,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,STV1,JCT,STV,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1040,0620, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,STV1,LLO,LLO,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,STV1,LLO,STV,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1650,0360, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,STV1,ALL,STV,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,STV1,ALL,RND,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1440,0470, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
RWY:RW15L,     ,      ,00743,V,    , ,   ;N29323391,W098163345,0000;
RWY:RW15R,     ,      ,00761,V,    , ,   ;N29320584,W098173559,0000;
RWY:RW33L,     ,      ,00727,V,    , ,   ;N29305421,W098164836,0000;
RWY:RW33R,     ,      ,00723,V,    , ,   ;N29312229,W098154623,0000;
