SID:030,4,LAKUP5,RW29,BELUN,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,LAKUP5,RW29,MIGIP,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,LAKUP5,RW29,OMUNI,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,LAKUP5,RW29,LAKUP,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,OCTOB8,RW11,LAPAR,YB,P,C,E   , ,010,CF, ,DN,YB,D, ,      ,1058,0085,1060,0110,+,04000,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,OCTOB8,RW11,MENOB,YB,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,OCTOB8,RW11,TURGO,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,OCTOB8,RW11,WUDOF,YB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,OCTOB8,RW11,VATPO,YB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,OCTOB8,RW11,OCTOB,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,OCTOB8,RW29,NASUX,YB,E,A,E   , ,010,CF, ,DN,YB,D, ,      ,2859,0120,2860,0090,+,04000,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,OCTOB8,RW29,RIPMI,YB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,OCTOB8,RW29,VATPO,YB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,OCTOB8,RW29,OCTOB,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,OLTAS1,RW11,DN,YB,D, ,VY  , ,010,CF, ,DN,YB,D, ,      ,0000,0000,1060,0010, ,     ,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,OLTAS1,RW11, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1060,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,OLTAS1,RW11,UPROX,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,OLTAS1,RW11,PEBBL,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,OLTAS1,RW11,UBDIG,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,OLTAS1,RW11,OLTAS,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,OLTAS1,RW29,DER29,YB,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
