SID:040,6,GTLKE3,BAGEL,BAGEL,K5,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,GTLKE3,DAIFE,GTLKE,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,GTLKE3,DAIFE,ELEOT,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,GTLKE3,DAIFE,NOLNN,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,GTLKE3,DAIFE,DAIFE,K5,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,GTLKE3,YABRO,GTLKE,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,GTLKE3,YABRO,ELEOT,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,GTLKE3,YABRO,NESSS,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,GTLKE3,YABRO,YABRO,K5,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MYCAR2,RW05, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0516,    ,+,01140,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,MYCAR2,RW05, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MYCAR2,RW10, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0975,    ,+,01140,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,MYCAR2,RW10, , , , , E  ,L,   ,VM,Y, , , , ,      ,    ,    ,3300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MYCAR2,RW23, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2316,    ,+,01140,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,MYCAR2,RW23, , , , , E  ,R,   ,VM,Y, , , , ,      ,    ,    ,3300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MYCAR2,RW28, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2775,    ,+,01140,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,MYCAR2,RW28, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MYCAR2, ,OCIFR,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,MYCAR2, ,WHARS,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,MYCAR2, ,MYCAR,K5,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ZAAPA3,RW05, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0526,    ,+,01140,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,ZAAPA3,RW05, , , , , E  ,L,   ,VM,Y, , , , ,      ,    ,    ,2800,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ZAAPA3,RW10, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0985,    ,+,01140,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,ZAAPA3,RW10, , , , , E  ,L,   ,VM,Y, , , , ,      ,    ,    ,2800,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ZAAPA3,RW23, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2326,    ,+,01140,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,ZAAPA3,RW23, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2800,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ZAAPA3,RW28, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2785,    ,+,01140,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,ZAAPA3,RW28, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2800,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ZAAPA3, ,MOHUM,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,18000, ,   ,    ,   , , , , , , , , ;
