APPCH:010,A,I36,JJU2,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:020,A,I36,JJU2,JJU,VI,D, ,V   , ,   ,FD, ,JJU,VI,D, ,      ,0000,0000,1630,0065,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I36,JJU2,CI36,VI,P,C,EE  ,R,   ,CF,Y,IJMU,VI,P,I,      ,1750,0075,3550,0010,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I36, ,CI36,VI,P,C,E  I, ,   ,IF, ,IJMU,VI,P,I,      ,1750,0075,    ,    ,J,02600,02600,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I36, ,FF36,VI,P,C,E  F, ,   ,CF, ,IJMU,VI,P,I,      ,1750,0065,3550,0010,H,02600,02600,     , ,   ,-300,   ,JJU,VI,D, ,B,0,D,S;
APPCH:030,I,I36, ,RW36,VI,P,G,G  M, ,   ,CF, ,IJMU,VI,P,I,      ,1750,0015,3550,0050, ,01007,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I36, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3550,    ,+,01401,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I36, , , , , ,    , ,   ,CD, ,JJU,VI,D, ,      ,    ,    ,3400,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I36, ,JJU,VI,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04100,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:070,I,I36, ,JJU,VI,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,1550,T010,+,04100,     ,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:010,A,S36-Y,JJU1,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,S36-Y,JJU1,JJU,VI,D, ,VY  , ,   ,FC, ,JJU,VI,D, ,      ,0000,0000,1510,0070,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S36-Y,JJU1,FS36Y,VI,P,C,EE  ,R,   ,CF,Y,JJU,VI,D, ,      ,1710,0055,3510,0020,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S36-Y,JJU2,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,S36-Y,JJU2,JJU,VI,D, ,VY  , ,   ,FC, ,JJU,VI,D, ,      ,0000,0000,1590,0070,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S36-Y,JJU2,FS36Y,VI,P,C,EE  ,R,   ,CF,Y,JJU,VI,D, ,      ,1710,0055,3510,0020,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S36-Y, ,FS36Y,VI,P,C,E  F, ,   ,IF, ,JJU,VI,D, ,      ,1710,0055,    ,    ,+,02600,     ,     , ,   ,    ,   ,JJU,VI,D, ,A,0, ,S;
APPCH:030,S,S36-Y, ,RW36,VI,P,G,G  M, ,   ,CF, ,JJU,VI,D, ,      ,1653,0005,3510,0050, ,01007,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S36-Y, ,JJU,VI,D, ,VYM , ,   ,CF, ,JJU,VI,D, ,      ,0000,0000,3510,0005, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S36-Y, ,JJU,VI,D, ,VY  , ,   ,FC, ,JJU,VI,D, ,      ,0000,0000,3400,0046, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S36-Y, ,JJU,VI,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:070,S,S36-Y, ,JJU,VI,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,1510,T010,+,04100,     ,     ,-,220,    ,   , , , , , ,0, ,S;
RWY:RW18 ,     ,      ,00957, ,    , ,   ;N32420700,E074501500,0000;
RWY:RW36 ,     ,      ,00950, ,IJMU,1,   ;N32404777,E074501948,0000;
