SID:010,6,FLMGO2,STYMY,FLMGO,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KHST,K7,P,A, , , , ;
SID:020,6,FLMGO2,STYMY,WAPOM,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,FLMGO2,STYMY,STYMY,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,FLMGO2,WAPOM,FLMGO,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KHST,K7,P,A, , , , ;
SID:020,6,FLMGO2,WAPOM,WAPOM,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,FOLZZ3,RW06, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0550,    , ,     ,     ,18000, ,   ,    ,   ,KHST,K7,P,A, , , , ;
SID:020,4,FOLZZ3,RW06,MARCK,K7,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,FOLZZ3,RW24, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,2350,    , ,     ,     ,18000, ,   ,    ,   ,KHST,K7,P,A, , , , ;
SID:020,4,FOLZZ3,RW24,MARCK,K7,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,FOLZZ3, ,MARCK,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,18000, ,   ,    ,   ,KHST,K7,P,A, , , , ;
