I
1100 Version - data cycle 1911, build 20250921, metadata AwyXP1100. FMS
ACZES K2 11 STANO K2 11 N 1  90   0 V244
ADAIR K4 11 ROBDE K4 11 N 1  25   0 V14
ADAIR K4 11 TIFFS K4 11 N 1  30   0 V14
ADALE K5 11 BITTR K5 11 N 2 180 450 J548
ADALE K5 11 WLTER K5 11 N 2 180 450 J548
ADAMM K2 11 BAYJY K2 11 N 1  55   0 V186
ADAMM K2 11 DOWDD K2 11 N 1  40   0 V394
ADAMM K2 11 PIRRO K2 11 N 1  55   0 V186
ADANE K2 11 CHEBA K2 11 N 1  90   0 V108
ADANE K2 11 DRAKE K2 11 N 1  90   0 V389
ADANE K2 11 LUFSE K2 11 N 1  90   0 V389
ADBON  P 11 OKOLE  P 11 N 1 180   0 A597
ADCOM K7 11 GRECI K7 11 N 1  20   0 V53
ADDAX K7 11 HEVVN K7 11 N 1  30   0 V97
ADDAX K7 11 WOUND K7 11 N 1  20   0 V97
ADEER K3 11 LACKA K3 11 N 1  50   0 V10
ADENA K7 11 LOCKS K7 11 N 1  24   0 V454
ADENA K7 11 UNARM K7 11 N 1  24   0 V454
ADENO K5 11 IROTO K5 11 N 1  30   0 V193-V320
ADENO K5 11 TIDDU K5 11 N 1  30   0 V193-V320
ADIBE K2 11 FOSOV K2 11 N 1 100   0 V208
ADISN  P 11 ARTOP  P 11 N 1   0   0 B474
ADISN  P 11 ARVII  P 11 N 1   0   0 B474
  ADK PA  2 CHIKI PA 11 N 1 180 600 R451
  ADK PA  2 DEJJE PA 11 N 1  80   0 G8
  ADK PA  2   DUT PA  2 N 2 180 450 J115
  ADK PA  2 HIGDO PA 11 N 1  60   0 V480
  ADK PA  2 HORTH PA 11 N 1  80   0 G1
  ADK PA  2 HORTH PA 11 N 2 180 450 J618
  ADK PA  2 LYYLE PA 11 N 1 180 600 R336
  ADK PA  2 RUNUW PA 11 N 1  90   0 G8
  ADK PA  2   SPY PA  2 N 2 180 450 J120
  ADK PA  2   SYA PA  2 N 2 180 450 J115
ADLEN PA 11 JUJXI PA 11 N 1   0   0 R35
ADLOW K1 11 BREAF K1 11 N 1  40   0 V495
ADMIT K7 11 CUGNI K7 11 N 1  40   0 V115
  ADM K4  3 ALEXX K4 11 N 1   0   0 V573
  ADM K4  3 FERET K4 11 N 1  30   0 V161-V17
  ADM K4  3   FUZ K4  3 N 2 180 450 J21
  ADM K4  3   IRW K4  3 N 2 180 450 J21
  ADM K4  3 JULKU K4 11 N 1  30   0 V161
  ADM K4  3 MRMAC K4 11 N 2 180 450 J52
  ADM K4  3 TEYUS K4 11 N 1  36   0 V573
  ADM K4  3   TXK K4  3 N 2 180 450 J52
  ADM K4  3 ZALUN K4 11 N 1  31   0 V17-V507
ADOBE K4 11 JAMMZ K4 11 N 1  37   0 V14
ADOBE K4 11 JUMEK K4 11 N 1  37   0 V14
ADOJA K1 11 SWANY K1 11 N 1 115   0 V468
ADOJA K1 11 TROTS K1 11 N 1 115   0 V468
ADOOR K7 11 CASPR  K 11 N 1   0   0 M203
ADOOR K7 11 ELDER K7 11 N 1 250 450 BR65V
ADOOR K7 11 ETECK  K 11 N 1   0   0 M202
ADOOR K7 11 LENDS  K 11 N 1   0   0 M202-M203
ADOPE  P 11 AUNTI  P 11 N 1  55   0 R463
ADOPE  P 11 AXELE  P 11 N 1  55   0 R463
ADOWA  P 11 ARVII  P 11 N 1   0   0 B474
ADOWA  P 11 BARKR  P 11 N 1   0   0 B474
ADOZO K2 11 CELAV K2 11 N 1 120   0 V263-V611
ADRIE K5 11 HANKY K5 11 N 1  40 175 T781
ADRIE K5 11 MARGN K5 11 N 1  40 175 T781
ADRUM K3 11 POOLS K3 11 N 1  55   0 V8
ADTIL  P 11 ALLBE  P 11 N 1  55   0 R463
ADTIL  P 11 AXELE  P 11 N 1  55   0 R463
ADUCI  K 11 CARPX  K 11 N 1   0 600 Y307
ADUCI  K 11 JAZZI  K 11 N 1   0 600 Y307
ADUKE K4 11 BERKE K4 11 N 2 183 450 J101
ADUKE K4 11 LURIC K4 11 N 2 180 450 J58
ADUKE K4 11 SKKIP K4 11 N 2 183 450 J101
ADVAY K5 11 JELLS K5 11 N 1  27   0 V128-V24-V399
ADZIN K7 11 HANDE K7 11 N 1  38   0 V159-V521
ADZIN K7 11 KYLEE K7 11 N 1  38   0 V159-V521
AERRO K2 11 DECAS K2 11 N 2 180 450 J65
  AES PA  2 BEFTI PA 11 N 1 100   0 G11
  AES PA  2   DJN PA  2 N 1  80   0 A15-A2
  AES PA  2 DUVOT PA 11 N 1   0   0 A15-A2
  AEX K4  3 BOYCE K4 11 N 1  20   0 V114-V566
  AEX K4  3 CATCS K4 11 N 1  20   0 V114
  AEX K4  3 CIDOR K4 11 N 2 180 450 J50
  AEX K4  3 COCOS K4 11 N 1  30   0 V212
  AEX K4  3 DOOMS K7 11 N 2 180 450 Q40
  AEX K4  3 FOSIN K4 11 N 2 180 450 J58
  AEX K4  3 JOHON K4 11 N 1  20   0 V212
  AEX K4  3 LARTO K4 11 N 1  20   0 V245-V570
  AEX K4  3   MCB K7  3 N 2 180 450 J50
  AEX K4  3 MUSHE K4 11 N 1  30   0 V566
  AEX K4  3 PEBBY K4 11 N 2 180 450 J58
AFONE  P 11 BALKS  P 11 N 1  55   0 B581
AFONE  P 11 WEDES  P 11 N 1  55   0 B581
AFOXY K2 11 ORCUT K2 11 N 1  60   0 V27
AFRUH K4 11 ARMOR K4 11 N 1  24   0 V289
AFTEN K7 11 BARRD K7 11 N 1  70   0 V136
AFWAF PA 11 KASSI PA 11 N 1  44   0 V435
AFWOX K1 11 KACTI K1 11 N 1  81   0 V247
AFWOX K1 11 POKSY K1 11 N 1  81   0 V247
AFYAB K1 11 SALON K1 11 N 1  80   0 V26
AFYAB K1 11 WAPAP K1 11 N 1  80   0 V247
AGARD K6 11 BROSS K6 11 N 2 180 450 J150-J42
AGARD K6 11 GRACO K6 11 N 2 180 450 J150-J42
AGARD K6 11 PALEO K6 11 N 1 135   0 V44
AGARD K6 11 SPEAK K6 11 N 1 135   0 V44
AGAZY K4 11 DOWES K4 11 N 1  80   0 V198
  AGC K6  3 FURIX K6 11 N 1 100   0 V12
AGDOX CY 11 KELTI K6 11 N 2 180 450 Q812-Q816
AGDOX CY 11 NOSIK CY 11 N 2 180 450 Q812
AGDOX CY 11 OMRAK CY 11 N 2 180 450 Q816
AGENT K3 11 KIDER K3 11 N 2 180 450 J96
AGEXY K3 11 LASKI K3 11 N 1  36   0 V12
AGIME K2 11 HERRM K2 11 N 1 130   0 V244
AGIME K2 11 NADIN K2 11 N 1 130   0 V244
  AGJ K4  3 MOGWI K4 11 N 1  38   0 V358
  AGJ K4  3 SLIMM K4 11 N 1  35   0 V163
  AGJ K4  3 SONET K4 11 N 1  30   0 V358
  AGJ K4  3 TENAT K4 11 N 1  35   0 V163
AGNEZ K6 11 CYPER K6 11 N 1  60   0 V489
AGNEZ K6 11 TUSON K6 11 N 1  63   0 V270
AGOMA K5 11 NENSE K5 11 N 1  35   0 V420
AGOTE K4 11 DRAST K4 11 N 1  40   0 V47
AGRYN K1 11 HEKIT K1 11 N 1  68   0 V430
AGRYN K1 11 WEBVO K1 11 N 1  68   0 V430
AGUDE K5 11 BOSEN K5 11 N 1  34   0 V78
AGUDE K5 11 STILS K5 11 N 1  34   0 V78
AGUNE  K 11 BOJAN  K 11 N 1 150 450 B24
AGUNE  K 11 LYNUS  K 11 N 1 150 450 B24
AHCIN K6 11 VELLI K6 11 N 1  70   0 V103
AHEIM K2 11 OLLIE K2 11 N 1  30   0 V21-V8
AHEIM K2 11 POWUP K2 11 N 1  40   0 V394
AHLEX K2 11 BANDS K2 11 N 1 130   0 T306-V16-V372
AHLEX K2 11 GARNE K2 11 N 1 130   0 V16-V372
AHMED K5 11 BENKY K5 11 N 1  26   0 V8
AHMED K5 11 KELSI K5 11 N 1  30   0 V10
AHMED K5 11 SHOOZ K5 11 N 1  30   0 V10
AHMED K5 11 START K5 11 N 1  40  80 T265
AHMED K5 11 URRBS K5 11 N 1  26   0 V8
AHMIT K3 11 PEPPR K3 11 N 1  30   0 V13-V411
AHNDO  P 11 BELAN  P 11 N 1  55   0 B577
AHNDO  P 11 BINGE  P 11 N 1  55   0 A220
AHNDO  P 11 LENNA  P 11 N 1  55   0 B577
AHNDO  P 11 MANEY  P 11 N 1  55 600 A220
  AHN K7  3   AMG K7  3 N 2 180 450 J46
  AHN K7  3 CONLY K7 11 N 1  37   0 V325
  AHN K7  3 DACHA K7 11 N 1  30   0 V20-V35-V66
  AHN K7  3 GLOVR K7 11 N 2   0 450 J208
  AHN K7  3   GRD K7  3 N 1  25   0 V66
  AHN K7  3 IRMOS K7 11 N 1  31   0 V267-V417-V5-V51
  AHN K7  3 JOSPI K7 11 N 1  28   0 V20-V35
  AHN K7  3 OCENU K7 11 N 1  25   0 V417
  AHN K7  3 PENFI K7 11 N 1  30   0 V267-V5-V51
  AHN K7  3 VESTO K7 11 N 1  25   0 V325
  AHN K7  3   VXV K7  3 N 2 180 450 J46
AHOEY K7 11 CHYPS K7 11 N 2 180 450 Q54
AHOEY K7 11 RAANE K7 11 N 2 180 450 Q54
AHOWW K2 11 BAWER K2 11 N 2 180 450 Q114
AHOWW K2 11 ZAINY K2 11 N 2 180 450 Q114
AHOYE K5 11 SACDO K7 11 N 1  24   0 V11-V47
AHPAH K6 11 GOATR K6 11 N 2 180 450 Q812-Q816
AHPAH K6 11 HANKK K6 11 N 2 180 450 Q140
AHPAH K6 11 KELTI K6 11 N 2 180 450 Q812-Q816
AHPAH K6 11 MEDAV K6 11 N 2 180 450 Q140
AHVUH PA 11 GEYHY PA 11 N 1  40   0 V498
AHVUH PA 11 NIXON PA 11 N 1  60   0 V498
  AIA K3  3 EVENN K3 11 N 1  75   0 V100
  AIA K3  3 JUNUM K3 11 N 1  63   0 V100
AIBIE  P 11 OLBIE  P 11 N 1  60   0 M756
AILES K5 11 TUSYU K5 11 N 1  35   0 V45
AILEY K7 11 NEDRE K7 11 N 1  30   0 V267
AIMES K2 11 PACHE K2 11 N 1  80   0 V89
AIRCO K6 11 EHMAN K6 11 N 1  40   0 V252
  AIR K5  3 ATWOO K5 11 N 1  60   0 V103-V75
  AIR K5  3 BEALL K5 11 N 1  30   0 V117
  AIR K5  3 BUCKO K6 11 N 2 180 450 J34
  AIR K5  3 CORVS K5 11 N 2 180 450 J110-J80
  AIR K5  3 KIVGE K6 11 N 1  34   0 V103-V309
  AIR K5  3 LEFSO K6 11 N 1  40   0 V75
  AIR K5  3 LEJOY K6 11 N 2 180 450 J110-J230-Q480
  AIR K5  3 LORES K5 11 N 1  30   0 V214
  AIR K5  3   MGW K6  3 N 2 180 450 J162
  AIR K5  3 SPOOL K5 11 N 2 180 450 J162-J34
  AIR K5  3 WISKE K6 11 N 1  33   0 V117
  AIR K5  3 WISVA K5 11 N 1  30   0 V92
  AIR K5  3 ZANDR K5 11 N 2 180 450 Q480
AIRRA K6 11 EMNEM K6 11 N 2 180 450 Q103
  AIX PA  2   OSE PA  2 N 1  30   0 R50
  AIX PA  2 RUFVY PA 11 N 1  23 175 T219
AJAHO K4 11 VAYTU K4 11 N 1  39   0 V77
AJAXX K2 11 LILXO K2 11 N 1 140   0 V108
AJAYS K5 11 HAROD K5 11 N 1  27   0 V221
AJAYS K5 11 WGNER K5 11 N 1  27   0 V221
AJGUB K6 11 TOPPS K6 11 N 2 180 450 J506
AJJAY K6 11 ALLEX  K 11 N 2 180 450 Q822
AKAYI K7 11 CRINK K7 11 N 1  30   0 V94
AKAYI K7 11 DEYEV K7 11 N 1  30   0 V94
AKAYI K7 11 PAULH K7 11 N 1  21   0 V9
AKAYI K7 11 TILUC K7 11 N 1  21   0 V9
AKELT PA 11 ALMOT PA 11 N 1  44 175 T225
AKELT PA 11 BANAT PA 11 N 1  30 175 T250
AKELT PA 11 GOYWI PA 11 N 1 100   0 V488
AKGAS PA 11 NEARR PA 11 N 1 120   0 V508
AKINS K4 11 VIANE K4 11 N 1  30   0 V532
AKKIF K3 11 BETRA K3 11 N 1  33   0 T330-V55
AKKIF K3 11 JIXIR K3 11 N 1  33   0 T330-V55
  AKN PA  3 AMOTT PA 11 N 2 180 450 Q47
  AKN PA  3 BINAL PA 11 N 1  27 175 T271
  AKN PA  3 CACCA PA 11 N 1  50   0 V506
  AKN PA  3 CIFJI PA 11 N 2 180 450 J115
  AKN PA  3 EXIPE PA 11 N 1  50   0 V321-V454
  AKN PA  3 JIVCO PA 11 N 1  30 175 T271
  AKN PA  3 KOKOZ PA 11 N 2 180 450 J123
  AKN PA  3 KONIC PA 11 N 1  90   0 V322
  AKN PA  3 KOWOK PA 11 N 1  30   0 V506
  AKN PA  3 KOWOK PA 11 N 2 180 450 J123
  AKN PA  3   MCG PA  3 N 2 180 450 Q57
  AKN PA  3 NOGAE PA 11 N 1  30   0 V456
  AKN PA  3 OSKOE PA 11 N 1  70   0 V321
  AKN PA  3 RINGO PA 11 N 2 180 450 J127
  AKN PA  3 SLIIM PA 11 N 2 180 450 Q51
  AKN PA  3 STREW PA 11 N 1  90   0 V456
  AKN PA  3 TANIE PA 11 N 2 180 450 J115
  AKN PA  3 YEYYU PA 11 N 1  21   0 V453
  AKN PA  3 ZAMOM PA 11 N 1  30   0 V427
  AKO K2  3 CITMU K2 11 N 1  64   0 V80
  AKO K2  3 GERON K2 11 N 1  64   0 V132
  AKO K2  3 HINGA K2 11 N 1  64   0 V169
  AKO K2  3 HOYTT K2 11 N 1  70   0 V8
  AKO K2  3 KANDO K2 11 N 1  85   0 V263
  AKO K2  3 MCJEF K3 11 N 1  70   0 V220
  AKO K2  3 OGLIE K2 11 N 1  65   0 V8
  AKO K2  3 SYLVR K2 11 N 1  70   0 V220
  AKO K2  3 TUMBL K2 11 N 1  68   0 V132
  AKO K2  3   TXC K2  3 N 1  70   0 V169
  AKP PA  2   EAV PA  2 N 1 100   0 A4
AKRAW PA 11 TOSIN PA 11 N 1 100   0 V482
AKSAR K6 11 CETPU K6 11 N 1  50   0 V37
AKSAR K6 11 TEDDS K6 11 N 1  50   0 V37
AKUKY K1 11 WIPLO K1 11 N 1  90   0 V497
AKUME K4 11 HOLLE K4 11 N 1  30   0 V272
AKUMY PA 11 CHIPS PA 11 N 1 100   0 A9
AKUMY PA 11 ZENLA PA 11 N 1 100   0 A9
AKXUT K7 11 WIGGO K7 11 N 1  60   0 V114
ALADN K7 11 CUSAB K7 11 N 1  20   0 V159-V295
ALAFU PH 11 WAPPO PH 11 N 1 140   0 R576
ALANA PH 11 HAUNA PH 11 N 1  30   0 V8
ALANA PH 11 JULLE PH 11 N 1  50   0 V16-V21
ALANA PH 11 OPIHI PH 11 N 1  70   0 V16
ALAND K5 11 MCLEN K5 11 N 1  30   0 V69-V9
ALASK TJ 11 CLAYO TJ 11 N 1  60   0 G432
ALASK TJ 11 CRSTL TJ 11 N 1  60   0 G432
ALBAS K2 11 FERMY K2 11 N 1  21   0 V25
ALBAS K2 11 MINOE K2 11 N 1  30   0 V25
ALBBE K7 11 CARAH  K 11 N 1   0   0 G504
ALBBE K7 11 GOVET  K 11 N 1   0   0 M594
ALBBE K7 11 MADIZ  K 11 N 1   0 600 Y589
ALBBE K7 11 RUMFO  K 11 N 1   0 600 Y374
ALBEK K6 11 INNEZ K6 11 N 1  21   0 V312
ALBER K7 11 BOAZE K7 11 N 1  30   0 V321
ALBER K7 11 OWENT K7 11 N 1  30   0 V321
ALBIN K1 11 LITER K1 11 N 1  95   0 V6
ALBIN K1 11 OMBIE K3 11 N 1  95   0 V6
ALBIN K1 11 VIDEE K1 11 N 1  80   0 V81
  ALB K6  3 ACOVE K6 11 N 1 100   0 V213
  ALB K6  3 ACOVE K6 11 N 2 180 450 J6
  ALB K6  3 AGNEZ K6 11 N 1  60   0 V489
  ALB K6  3 ATHOS K6 11 N 2 180 450 J37
  ALB K6  3 CANAN K6 11 N 1  60   0 T300-V203
  ALB K6  3 CEDOR K6 11 N 1  36   0 V14
  ALB K6  3 CIRRU K6 11 N 1  60   0 V91
  ALB K6  3   CTR K6  3 N 1  41   0 V146
  ALB K6  3   GFL K6  3 N 1  70   0 V489-V91
  ALB K6  3 GROUP K6 11 N 1  60   0 V123-V157-V44
  ALB K6  3   HNK K6  3 N 2 180 450 J49
  ALB K6  3 LAMED K6 11 N 2 180 450 J563
  ALB K6  3 MARIA K6 11 N 1  30   0 V2
  ALB K6  3   MSS K6  3 N 2 230 450 J37
  ALB K6  3 NIPPY K6 11 N 2 180 450 J570
  ALB K6  3 OAKIL K6 11 N 1  56 175 T291
  ALB K6  3 OTOLE K6 11 N 1  60   0 V203
  ALB K6  3   RKA K6  3 N 2 180 450 J190
  ALB K6  3 SHAHE K6 11 N 1  40   0 V542
  ALB K6  3 SQUAM K6 11 N 2 180 450 J49
  ALB K6  3 TIMKE K6 11 N 1  40   0 V123-V542
  ALB K6  3 WARUV K6 11 N 1  50   0 V14-V2
ALBRT K3 11 BURKK K3 11 N 2 180 450 J64
ALBRT K3 11 CHASY K3 11 N 2 180 350 J18
ALBRT K3 11 JAVAS K3 11 N 2 180 450 J64
ALCOA  P 11 ALLBE  P 11 N 1  55   0 R463
ALCOR K4 11 LARKO K4 11 N 1  29   0 V77
ALCOS K1 11 CHOMP K1 11 N 1 117   0 V26
ALDAN K7 11 BILLA K7 11 N 1  26   0 V136
ALDER K1 11 CIDUG K1 11 N 1  90   0 V495
ALDER K1 11 MCKEN K1 11 N 1  58   0 V204
ALDER K1 11 TOUTL K1 11 N 1  90   0 V495
ALDER K1 11 WEBIM K1 11 N 1 100   0 V204
  ALD K7  3 DOVER K7 11 N 1  90   0 V157
  ALD K7  3 HARAB K7 11 N 1  60   0 V157
  ALD K7  3 MILEN K7 11 N 1  30   0 V70
  ALD K7  3 NORMS K7 11 N 1  30   0 V37
  ALD K7  3 STOAS K7 11 N 1  60   0 V417
  ALD K7  3 STUGE K7 11 N 1  30   0 V417
  ALD K7  3 WIXON K7 11 N 1  60   0 V37
ALDOH K7 11 LINCO K7 11 N 1  40   0 V133
ALDOZ PA 11 ALUFF PA 11 N 1 180 600 R591
ALDOZ PA 11 AMOND PA 11 N 1 180 600 R591
ALEAN K6 11 MXEEN K7 11 N 2 180 450 Q66
ALEAN K6 11 OJESS K7 11 N 2 180 450 Q40
ALEAN K6 11 YICUT K6 11 N 2 180 450 Q40
ALEEE K5 11 FAALS K5 11 N 2 180 450 Q62
ALEEE K5 11 QUARM K6 11 N 2 180 450 Q62
ALEEN K5 11 FEDMU K5 11 N 1  50   0 V148
ALEEN K5 11 TONOC K5 11 N 1  50   0 V55
ALENS K3 11 SHYLS K3 11 N 1  47   0 V169
ALERI  K 11 MNDEZ  K 11 N 1 210   0 L454
